Designator,Footprint,Quantity,Value,LCSC Part #
J1,IDC-Header_2x07_P2.54mm_Vertical,1,right input IDC14,
"J10, J11, J12, J13",PinHeader_2x01_P2.54mm_Vertical,4,Conn_02x01,
J2,IDC-Header_2x07_P2.54mm_Vertical,1,left input IDC14,
J8,PinHeader_1x03_P2.54mm_Vertical,1,debug out,
J9,HC-FPC-05-09-4RLTAG,1,522710469,
JP1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,1,SolderJumper_2_Open,
PSP_JOY,PSP1000_JOY,1,PSP1000_JOY,
Q1,SOT-23,1,AO3401A,C15127
Q2,SOT-23,1,NPN - MMBT2222A,C8512
R1,0805,1,1k,
R2,0805,1,10k,
SW1,SW_PUSH_6mm_H4.3mm,1,RESET_SWITCH,
"SW2, SW3, SW4",Kailh_socket_PG1350_optional,3,SW_Push,
U1,RPi_Pico_SMD_TH,1,Pico,
